imu9250 monitor started
gx, gy, gz, ax, ay, az, mx, my, mz, comp, temp
-2.048,2.784,-55.146,0.002,0.009,1.033,42.272,-9.227,9.845,192.313,23.308065928384394
-1.704,2.439,-50.530,0.007,-0.008,1.034,40.955,-10.740,9.855,194.694,23.341855144840082
-2.320,2.737,-40.398,0.020,0.006,1.036,40.231,-11.981,10.013,196.583,23.368886518004633
-2.279,2.310,-32.279,0.015,0.006,1.036,39.802,-13.183,10.110,198.326,23.361757910003792
-2.278,1.986,-25.784,0.013,0.006,1.036,39.458,-14.145,10.187,199.722,23.35605502360312
-2.486,1.993,-20.497,0.010,0.006,1.035,38.584,-14.615,10.189,200.746,23.313154439105936
-2.457,1.765,-16.347,0.005,0.004,1.034,38.094,-14.840,10.160,201.285,23.27883397150819
-2.156,1.218,-13.053,0.004,0.004,1.034,37.852,-15.111,10.047,201.762,23.270546735118312
-1.766,0.451,-10.414,0.007,0.007,1.033,37.509,-15.298,10.167,202.187,23.26391694600641
-1.918,0.533,-8.334,0.008,0.008,1.033,37.234,-15.687,9.963,202.846,23.268197683561052
-2.001,0.556,-6.731,0.008,0.008,1.033,37.194,-15.818,9.979,203.039,23.281206842448928
-2.085,0.610,-5.388,0.008,0.009,1.032,37.072,-16.013,10.083,203.361,23.33953701378003
-2.124,0.607,-4.340,0.008,0.009,1.035,36.975,-16.169,10.165,203.620,23.299940031247466
-2.127,0.618,-3.443,0.008,0.010,1.035,36.975,-16.169,10.165,203.620,23.287431582909736
-2.127,0.618,-3.443,0.008,0.010,1.035,37.107,-16.384,10.321,203.823,23.287431582909736
-2.156,0.629,-2.743,0.008,0.009,1.035,36.943,-16.406,10.356,203.945,23.287009393083714
-2.176,0.616,-2.193,0.007,0.011,1.036,36.811,-16.663,10.204,204.355,23.315425347755376
-2.193,0.626,-1.758,0.007,0.011,1.035,36.616,-16.839,10.173,204.697,23.318988973804387
-2.221,0.652,-1.408,0.007,0.012,1.035,36.400,-16.680,10.327,204.619,23.341009012331916
-2.233,0.639,-1.085,0.007,0.012,1.036,36.467,-16.613,10.271,204.492,23.301117630088974
-2.276,0.670,-0.799,0.006,0.011,1.035,36.521,-16.559,10.226,204.390,23.326711937359583
-2.282,0.685,-0.589,0.006,0.012,1.034,36.473,-16.546,10.160,204.401,23.34718738317607
-2.256,0.690,-0.454,0.007,0.012,1.034,36.556,-16.595,10.107,204.417,23.36356773982926
-2.279,0.728,-0.371,0.007,0.011,1.035,36.592,-16.725,9.975,204.563,23.357502887463493
-2.234,0.776,-0.341,0.007,0.011,1.037,36.380,-16.648,9.929,204.590,23.333481867882558
-2.195,0.743,-0.336,0.008,0.012,1.039,36.181,-16.677,10.102,204.747,23.31426505221781
-2.220,0.715,-0.273,0.007,0.013,1.040,36.232,-16.731,10.151,204.786,23.31806073737433
-2.221,0.665,-0.221,0.007,0.012,1.040,36.273,-16.833,10.310,204.894,23.321097285499548
